Ticker,DateScenario,Currency,NbShares,Portfolio,RiskType,ScenarioValue
SPY,2022-02-23,USD,201122,SP500,FXReturn,107932.21524438092
SPY,2022-02-24,USD,201122,SP500,FXReturn,791242.2655709777
SPY,2022-02-25,USD,201122,SP500,FXReturn,-519211.20425758424
SPY,2022-02-28,USD,201122,SP500,FXReturn,334321.67103771365
SPY,2022-03-01,USD,201122,SP500,FXReturn,654278.871498207
SPY,2022-03-02,USD,201122,SP500,FXReturn,34945.796409442512
SPY,2022-03-03,USD,201122,SP500,FXReturn,407984.30316704646
SPY,2022-03-04,USD,201122,SP500,FXReturn,1000374.999682338
SPY,2022-03-07,USD,201122,SP500,FXReturn,542469.0108385263
SPY,2022-03-08,USD,201122,SP500,FXReturn,-335212.7198016711
SPY,2022-03-09,USD,201122,SP500,FXReturn,-1220663.9141205447
SPY,2022-03-10,USD,201122,SP500,FXReturn,650170.65938266879
SPY,2022-03-11,USD,201122,SP500,FXReturn,528523.76980710146
SPY,2022-03-14,USD,201122,SP500,FXReturn,-212392.87149010703
SPY,2022-03-15,USD,201122,SP500,FXReturn,-84012.803787697732
SPY,2022-03-16,USD,201122,SP500,FXReturn,-574671.21008381923
SPY,2022-03-17,USD,201122,SP500,FXReturn,-408221.25054711796
SPY,2022-03-18,USD,201122,SP500,FXReturn,246033.86288457242
SPY,2022-03-21,USD,201122,SP500,FXReturn,301044.65613230917
SPY,2022-03-22,USD,201122,SP500,FXReturn,-95667.574273220016
SPY,2022-03-23,USD,201122,SP500,FXReturn,171394.19227488225
SPY,2022-03-24,USD,201122,SP500,FXReturn,59013.524233205331
SPY,2022-03-25,USD,201122,SP500,FXReturn,112553.59481332624
SPY,2022-03-28,USD,201122,SP500,FXReturn,22657.741453387749
SPY,2022-03-29,USD,201122,SP500,FXReturn,-806238.53350198467
SPY,2022-03-30,USD,201122,SP500,FXReturn,-532957.37960991671
SPY,2022-03-31,USD,201122,SP500,FXReturn,680095.32214299985
SPY,2022-04-01,USD,201122,SP500,FXReturn,89125.429463246212
SPY,2022-04-04,USD,201122,SP500,FXReturn,623551.56347624958
SPY,2022-04-05,USD,201122,SP500,FXReturn,514645.09431013395
SPY,2022-04-06,USD,201122,SP500,FXReturn,76378.564728338009
SPY,2022-04-07,USD,201122,SP500,FXReturn,113682.9137097265
SPY,2022-04-08,USD,201122,SP500,FXReturn,15257.913140919816
SPY,2022-04-11,USD,201122,SP500,FXReturn,-53235.429181438391
SPY,2022-04-12,USD,201122,SP500,FXReturn,428047.03142925072
SPY,2022-04-13,USD,201122,SP500,FXReturn,-441343.46111087216
SPY,2022-04-14,USD,201122,SP500,FXReturn,438791.827790298
SPY,2022-04-19,USD,201122,SP500,FXReturn,309129.69134224148
SPY,2022-04-20,USD,201122,SP500,FXReturn,-489495.20946849312
SPY,2022-04-21,USD,201122,SP500,FXReturn,106503.96482454888
SPY,2022-04-22,USD,201122,SP500,FXReturn,316366.9140047594
SPY,2022-04-25,USD,201122,SP500,FXReturn,615142.33158955828
SPY,2022-04-26,USD,201122,SP500,FXReturn,567379.25913048664
SPY,2022-04-27,USD,201122,SP500,FXReturn,603817.571936894
SPY,2022-04-28,USD,201122,SP500,FXReturn,462175.88172601
SPY,2022-04-29,USD,201122,SP500,FXReturn,-365582.58194873529
SPY,2022-05-02,USD,201122,SP500,FXReturn,276899.38601911272
SPY,2022-05-03,USD,201122,SP500,FXReturn,-120701.50579609747
SPY,2022-05-04,USD,201122,SP500,FXReturn,-756989.16795156768
SPY,2022-05-05,USD,201122,SP500,FXReturn,624390.959991721
SPY,2022-05-06,USD,201122,SP500,FXReturn,-82322.5873910995
SPY,2022-05-09,USD,201122,SP500,FXReturn,-29714.515503224677
SPY,2022-05-10,USD,201122,SP500,FXReturn,201800.98651561677
SPY,2022-05-11,USD,201122,SP500,FXReturn,116065.126349606
SPY,2022-05-12,USD,201122,SP500,FXReturn,955762.87254578539
SPY,2022-05-13,USD,201122,SP500,FXReturn,-233681.42198496469
SPY,2022-05-16,USD,201122,SP500,FXReturn,-148797.15818669557
SPY,2022-05-17,USD,201122,SP500,FXReturn,-848438.51173791836
SPY,2022-05-18,USD,201122,SP500,FXReturn,602608.94540088286
SPY,2022-05-19,USD,201122,SP500,FXReturn,-853609.302299723
SPY,2022-05-20,USD,201122,SP500,FXReturn,182179.69837949966
