Ticker,DateScenario,Currency,NbShares,RiskType,ScenarioValue
MMM,2021-05-06,USD,-7744.0,TotalReturn,128.38730988525276
MMM,2021-05-06,USD,-7744.0,FXReturn,6354.9125088241744
MMM,2021-05-06,USD,-7744.0,EquityReturn,-6226.5251989389853
MMM,2021-05-07,USD,-7744.0,TotalReturn,6373.3680721919354
MMM,2021-05-07,USD,-7744.0,FXReturn,10575.489259398923
MMM,2021-05-07,USD,-7744.0,EquityReturn,-4202.1211872070826
MMM,2021-05-10,USD,-7744.0,TotalReturn,-30823.114334356316
MMM,2021-05-10,USD,-7744.0,FXReturn,-3624.3015715561269
MMM,2021-05-10,USD,-7744.0,EquityReturn,-27198.812762800022
MMM,2021-05-11,USD,-7744.0,TotalReturn,24869.254884273403
MMM,2021-05-11,USD,-7744.0,FXReturn,1852.7556252580348
MMM,2021-05-11,USD,-7744.0,EquityReturn,23016.499259015403
MMM,2021-05-12,USD,-7744.0,TotalReturn,22832.960370836925
MMM,2021-05-12,USD,-7744.0,FXReturn,-8286.76785851104
MMM,2021-05-12,USD,-7744.0,EquityReturn,31119.728229347875
MMM,2021-05-14,USD,-7744.0,TotalReturn,-27684.988449856552
MMM,2021-05-14,USD,-7744.0,FXReturn,7462.8204463541861
MMM,2021-05-14,USD,-7744.0,EquityReturn,-35147.808896210816
MMM,2021-05-17,USD,-7744.0,TotalReturn,-3472.1632852504517
MMM,2021-05-17,USD,-7744.0,FXReturn,1180.2274644823242
MMM,2021-05-17,USD,-7744.0,EquityReturn,-4652.3907497326481
MMM,2021-05-18,USD,-7744.0,TotalReturn,20562.324821285234
MMM,2021-05-18,USD,-7744.0,FXReturn,7381.0482255404477
MMM,2021-05-18,USD,-7744.0,EquityReturn,13181.276595744761
MMM,2021-05-19,USD,-7744.0,TotalReturn,-2338.0822074004245
MMM,2021-05-19,USD,-7744.0,FXReturn,-5073.8035350375767
MMM,2021-05-19,USD,-7744.0,EquityReturn,2735.7213276372436
MMM,2021-05-20,USD,-7744.0,TotalReturn,11710.484634895771
MMM,2021-05-20,USD,-7744.0,FXReturn,5693.1445400159873
MMM,2021-05-20,USD,-7744.0,EquityReturn,6017.3400948796934
MMM,2021-05-21,USD,-7744.0,TotalReturn,-6264.3568192209295
MMM,2021-05-21,USD,-7744.0,FXReturn,-4929.074776360213
MMM,2021-05-21,USD,-7744.0,EquityReturn,-1335.2820428607124
MMM,2021-05-25,USD,-7744.0,TotalReturn,8387.4450360358078
MMM,2021-05-25,USD,-7744.0,FXReturn,7439.2001380765223
MMM,2021-05-25,USD,-7744.0,EquityReturn,948.24489795921954
MMM,2021-05-26,USD,-7744.0,TotalReturn,-5450.4504796505153
MMM,2021-05-26,USD,-7744.0,FXReturn,-6276.307739699665
MMM,2021-05-26,USD,-7744.0,EquityReturn,825.85726004919172
MMM,2021-05-27,USD,-7744.0,TotalReturn,-10333.761979506617
MMM,2021-05-27,USD,-7744.0,FXReturn,210.07004149092029
MMM,2021-05-27,USD,-7744.0,EquityReturn,-10543.832020997352
MMM,2021-05-28,USD,-7744.0,TotalReturn,952.92786900304236
MMM,2021-05-28,USD,-7744.0,FXReturn,-317.72599923914481
MMM,2021-05-28,USD,-7744.0,EquityReturn,1270.6538682419657
MMM,2021-06-01,USD,-7744.0,TotalReturn,1309.3843055329125
MMM,2021-06-01,USD,-7744.0,FXReturn,2324.0759769766537
MMM,2021-06-01,USD,-7744.0,EquityReturn,-1014.6916714437584
MMM,2021-06-02,USD,-7744.0,TotalReturn,-781.95731390522087
MMM,2021-06-02,USD,-7744.0,FXReturn,-211.09974981306564
MMM,2021-06-02,USD,-7744.0,EquityReturn,-570.85756409208489
MMM,2021-06-03,USD,-7744.0,TotalReturn,-11467.307184430816
MMM,2021-06-03,USD,-7744.0,FXReturn,-9040.1214371527585
MMM,2021-06-03,USD,-7744.0,EquityReturn,-2427.1857472780971
MMM,2021-06-04,USD,-7744.0,TotalReturn,-10766.13109934167
MMM,2021-06-04,USD,-7744.0,FXReturn,4384.4813133177158
MMM,2021-06-04,USD,-7744.0,EquityReturn,-15150.61241265942
MMM,2021-06-07,USD,-7744.0,TotalReturn,17322.255446710362
MMM,2021-06-07,USD,-7744.0,FXReturn,2582.6705751047402
MMM,2021-06-07,USD,-7744.0,EquityReturn,14739.584871605681
MMM,2021-06-08,USD,-7744.0,TotalReturn,-1023.4761426278437
MMM,2021-06-08,USD,-7744.0,FXReturn,-1914.2492919169833
MMM,2021-06-08,USD,-7744.0,EquityReturn,890.77314928920737
MMM,2021-06-09,USD,-7744.0,TotalReturn,6149.7475179167195
MMM,2021-06-09,USD,-7744.0,FXReturn,744.59067771307889
MMM,2021-06-09,USD,-7744.0,EquityReturn,5405.1568402036091
MMM,2021-06-10,USD,-7744.0,TotalReturn,-3435.3379590419881
MMM,2021-06-10,USD,-7744.0,FXReturn,-953.49064208906566
MMM,2021-06-10,USD,-7744.0,EquityReturn,-2481.8473169528261
MMM,2021-06-11,USD,-7744.0,TotalReturn,-4680.0610983403058
MMM,2021-06-11,USD,-7744.0,FXReturn,-6727.0460644727073
MMM,2021-06-11,USD,-7744.0,EquityReturn,2046.9849661324529
MMM,2021-06-14,USD,-7744.0,TotalReturn,10550.923278329834
MMM,2021-06-14,USD,-7744.0,FXReturn,1284.7077312098218
MMM,2021-06-14,USD,-7744.0,EquityReturn,9266.215547119913
MMM,2021-06-15,USD,-7744.0,TotalReturn,5427.3126528974681
MMM,2021-06-15,USD,-7744.0,FXReturn,636.814467480065
MMM,2021-06-15,USD,-7744.0,EquityReturn,4790.4981854173539
MMM,2021-06-16,USD,-7744.0,TotalReturn,10000.907195047263
MMM,2021-06-16,USD,-7744.0,FXReturn,-13888.37077727237
MMM,2021-06-16,USD,-7744.0,EquityReturn,23889.277972319604
MMM,2021-06-17,USD,-7744.0,TotalReturn,2115.6546132411368
MMM,2021-06-17,USD,-7744.0,FXReturn,-9396.9272782423159
MMM,2021-06-17,USD,-7744.0,EquityReturn,11512.581891483351
MMM,2021-06-18,USD,-7744.0,TotalReturn,18191.592658511647
MMM,2021-06-18,USD,-7744.0,FXReturn,-4922.8761441864663
MMM,2021-06-18,USD,-7744.0,EquityReturn,23114.468802698095
MMM,2021-06-21,USD,-7744.0,TotalReturn,-17687.823205264362
MMM,2021-06-21,USD,-7744.0,FXReturn,5774.9044489531989
MMM,2021-06-21,USD,-7744.0,EquityReturn,-23462.727654217462
MMM,2021-06-22,USD,-7744.0,TotalReturn,2898.4644695594416
MMM,2021-06-22,USD,-7744.0,FXReturn,2444.385059272689
MMM,2021-06-22,USD,-7744.0,EquityReturn,454.07941028662032
MMM,2021-06-23,USD,-7744.0,TotalReturn,16673.143181068212
MMM,2021-06-23,USD,-7744.0,FXReturn,-1379.9553514261129
MMM,2021-06-23,USD,-7744.0,EquityReturn,18053.098532494583
MMM,2021-06-24,USD,-7744.0,TotalReturn,-5318.5370847760441
MMM,2021-06-24,USD,-7744.0,FXReturn,523.54170818259581
MMM,2021-06-24,USD,-7744.0,EquityReturn,-5842.07879295878
MMM,2021-06-28,USD,-7744.0,TotalReturn,-21673.308815569642
MMM,2021-06-28,USD,-7744.0,FXReturn,-631.24239490521825
MMM,2021-06-28,USD,-7744.0,EquityReturn,-21042.066420664269
MMM,2021-06-29,USD,-7744.0,TotalReturn,-51.442495761408281
MMM,2021-06-29,USD,-7744.0,FXReturn,-3111.2827647821587
MMM,2021-06-29,USD,-7744.0,EquityReturn,3059.8402690205894
MMM,2021-06-30,USD,-7744.0,TotalReturn,-21289.966441566808
MMM,2021-06-30,USD,-7744.0,FXReturn,-4306.0777869907306
MMM,2021-06-30,USD,-7744.0,EquityReturn,-16983.888654576091
MMM,2021-07-01,USD,-7744.0,TotalReturn,-3773.2044559357928
MMM,2021-07-01,USD,-7744.0,FXReturn,-766.587305361695
MMM,2021-07-01,USD,-7744.0,EquityReturn,-3006.6171505739885
MMM,2021-07-02,USD,-7744.0,TotalReturn,-3466.922488176886
MMM,2021-07-02,USD,-7744.0,FXReturn,1754.9251180265376
MMM,2021-07-02,USD,-7744.0,EquityReturn,-5221.8476062035306
MMM,2021-07-06,USD,-7744.0,TotalReturn,15016.135705023493
MMM,2021-07-06,USD,-7744.0,FXReturn,-4635.3615035706871
MMM,2021-07-06,USD,-7744.0,EquityReturn,19651.497208594148
MMM,2021-07-07,USD,-7744.0,TotalReturn,-23119.672248655661
MMM,2021-07-07,USD,-7744.0,FXReturn,-3610.2312443292831
MMM,2021-07-07,USD,-7744.0,EquityReturn,-19509.441004326243
MMM,2021-07-08,USD,-7744.0,TotalReturn,16273.476946848474
MMM,2021-07-08,USD,-7744.0,FXReturn,5875.7738561542174
MMM,2021-07-08,USD,-7744.0,EquityReturn,10397.703090694164
MMM,2021-07-09,USD,-7744.0,TotalReturn,-14420.736741332519
MMM,2021-07-09,USD,-7744.0,FXReturn,3385.310592955329
MMM,2021-07-09,USD,-7744.0,EquityReturn,-17806.047334287814
MMM,2021-07-12,USD,-7744.0,TotalReturn,5112.9837495736629
MMM,2021-07-12,USD,-7744.0,FXReturn,-1547.6790381823585
MMM,2021-07-12,USD,-7744.0,EquityReturn,6660.6627877562014
MMM,2021-07-13,USD,-7744.0,TotalReturn,-6928.2100694713627
MMM,2021-07-13,USD,-7744.0,FXReturn,-9427.5475928280321
MMM,2021-07-13,USD,-7744.0,EquityReturn,2499.3375233565184
MMM,2021-07-14,USD,-7744.0,TotalReturn,-14368.3814845842
MMM,2021-07-14,USD,-7744.0,FXReturn,6766.4896603251673
MMM,2021-07-14,USD,-7744.0,EquityReturn,-21134.871144909284
MMM,2021-07-15,USD,-7744.0,TotalReturn,-1010.7941870889554
MMM,2021-07-15,USD,-7744.0,FXReturn,-2584.2449151621104
MMM,2021-07-15,USD,-7744.0,EquityReturn,1573.4507280732055
MMM,2021-07-16,USD,-7744.0,TotalReturn,20335.4067199625
MMM,2021-07-16,USD,-7744.0,FXReturn,-787.5750674157299
MMM,2021-07-16,USD,-7744.0,EquityReturn,21122.981787378219
MMM,2021-07-19,USD,-7744.0,TotalReturn,11104.545192082984
MMM,2021-07-19,USD,-7744.0,FXReturn,-775.97693031069673
MMM,2021-07-19,USD,-7744.0,EquityReturn,11880.522122393641
MMM,2021-07-20,USD,-7744.0,TotalReturn,-23524.291852833783
MMM,2021-07-20,USD,-7744.0,FXReturn,-2091.7084416785815
MMM,2021-07-20,USD,-7744.0,EquityReturn,-21432.583411155389
MMM,2021-07-21,USD,-7744.0,TotalReturn,1783.8835367267257
MMM,2021-07-21,USD,-7744.0,FXReturn,1455.5253277715842
MMM,2021-07-21,USD,-7744.0,EquityReturn,328.35820895511193
MMM,2021-07-22,USD,-7744.0,TotalReturn,8720.5802761892282
MMM,2021-07-22,USD,-7744.0,FXReturn,-2464.4664527827022
MMM,2021-07-22,USD,-7744.0,EquityReturn,11185.046728972073
MMM,2021-07-23,USD,-7744.0,TotalReturn,-9230.7391919156144
MMM,2021-07-23,USD,-7744.0,FXReturn,111.27083272122348
MMM,2021-07-23,USD,-7744.0,EquityReturn,-9342.0100246369238
MMM,2021-07-26,USD,-7744.0,TotalReturn,-4614.56124143333
MMM,2021-07-26,USD,-7744.0,FXReturn,3130.0950853738509
MMM,2021-07-26,USD,-7744.0,EquityReturn,-7744.6563268072159
MMM,2021-07-27,USD,-7744.0,TotalReturn,9546.4884108632123
MMM,2021-07-27,USD,-7744.0,FXReturn,1680.5666231539255
MMM,2021-07-27,USD,-7744.0,EquityReturn,7865.9217877094225
MMM,2021-07-28,USD,-7744.0,TotalReturn,17428.4325242005
MMM,2021-07-28,USD,-7744.0,FXReturn,3107.0678898481619
MMM,2021-07-28,USD,-7744.0,EquityReturn,14321.364634352291
MMM,2021-07-29,USD,-7744.0,TotalReturn,5516.6188342826008
MMM,2021-07-29,USD,-7744.0,FXReturn,4799.9437543565928
MMM,2021-07-29,USD,-7744.0,EquityReturn,716.67507992605215
MMM,2021-07-30,USD,-7744.0,TotalReturn,-239.82845172924135
MMM,2021-07-30,USD,-7744.0,FXReturn,-1740.350776918847
MMM,2021-07-30,USD,-7744.0,EquityReturn,1500.5223251894868
MMM,2021-08-02,USD,-7744.0,TotalReturn,2414.3180514672858
MMM,2021-08-02,USD,-7744.0,FXReturn,-326.45889300031479
MMM,2021-08-02,USD,-7744.0,EquityReturn,2740.7769444677706
MMM,2021-08-03,USD,-7744.0,TotalReturn,-23679.345506002282
MMM,2021-08-03,USD,-7744.0,FXReturn,-760.76203214089378
MMM,2021-08-03,USD,-7744.0,EquityReturn,-22918.583473861661
MMM,2021-08-04,USD,-7744.0,TotalReturn,20128.796813407396
MMM,2021-08-04,USD,-7744.0,FXReturn,-2772.7663467106377
MMM,2021-08-04,USD,-7744.0,EquityReturn,22901.56316011829
MMM,2021-08-05,USD,-7744.0,TotalReturn,-2094.8526348173054
MMM,2021-08-05,USD,-7744.0,FXReturn,-327.71267538521079
MMM,2021-08-05,USD,-7744.0,EquityReturn,-1767.1399594321156
MMM,2021-08-06,USD,-7744.0,TotalReturn,-10099.144761352774
MMM,2021-08-06,USD,-7744.0,FXReturn,-7926.0835368631679
MMM,2021-08-06,USD,-7744.0,EquityReturn,-2173.0612244896911
MMM,2021-08-09,USD,-7744.0,TotalReturn,2061.8612805947523
MMM,2021-08-09,USD,-7744.0,FXReturn,-2556.6954204361609
MMM,2021-08-09,USD,-7744.0,EquityReturn,4618.5567010308523
MMM,2021-08-10,USD,-7744.0,TotalReturn,-14139.85216153496
MMM,2021-08-10,USD,-7744.0,FXReturn,-2112.1341209136635
MMM,2021-08-10,USD,-7744.0,EquityReturn,-12027.718040621221
MMM,2021-08-11,USD,-7744.0,TotalReturn,-13175.611755990865
MMM,2021-08-11,USD,-7744.0,FXReturn,2131.604738854518
MMM,2021-08-11,USD,-7744.0,EquityReturn,-15307.216494845316
MMM,2021-08-12,USD,-7744.0,TotalReturn,-209.59016948280805
MMM,2021-08-12,USD,-7744.0,FXReturn,-1134.0891888398733
MMM,2021-08-12,USD,-7744.0,EquityReturn,924.49901935694913
MMM,2021-08-13,USD,-7744.0,TotalReturn,12802.475010008651
MMM,2021-08-13,USD,-7744.0,FXReturn,7219.9120382505662
MMM,2021-08-13,USD,-7744.0,EquityReturn,5582.5629717580832
MMM,2021-08-16,USD,-7744.0,TotalReturn,-13007.433904794878
MMM,2021-08-16,USD,-7744.0,FXReturn,-1566.0141883984938
MMM,2021-08-16,USD,-7744.0,EquityReturn,-11441.419716396238
MMM,2021-08-17,USD,-7744.0,TotalReturn,10481.200468366695
MMM,2021-08-17,USD,-7744.0,FXReturn,-7840.3574407552951
MMM,2021-08-17,USD,-7744.0,EquityReturn,18321.557909121846
MMM,2021-08-18,USD,-7744.0,TotalReturn,20329.407299803439
MMM,2021-08-18,USD,-7744.0,FXReturn,225.42779510658039
MMM,2021-08-18,USD,-7744.0,EquityReturn,20103.979504696974
MMM,2021-08-19,USD,-7744.0,TotalReturn,3621.0543095977882
MMM,2021-08-19,USD,-7744.0,FXReturn,-4007.5220138559371
MMM,2021-08-19,USD,-7744.0,EquityReturn,7628.576323453678
MMM,2021-08-20,USD,-7744.0,TotalReturn,10382.903910077192
MMM,2021-08-20,USD,-7744.0,FXReturn,2437.6234723204639
MMM,2021-08-20,USD,-7744.0,EquityReturn,7945.2804377566108
MMM,2021-08-23,USD,-7744.0,TotalReturn,1716.0759275278851
MMM,2021-08-23,USD,-7744.0,FXReturn,5145.2507550848513
MMM,2021-08-23,USD,-7744.0,EquityReturn,-3429.1748275569103
MMM,2021-08-24,USD,-7744.0,TotalReturn,631.11571420218024
MMM,2021-08-24,USD,-7744.0,FXReturn,1092.3426349881986
MMM,2021-08-24,USD,-7744.0,EquityReturn,-461.22692078613733
MMM,2021-08-25,USD,-7744.0,TotalReturn,4550.9588882057742
MMM,2021-08-25,USD,-7744.0,FXReturn,1853.3887947480939
MMM,2021-08-25,USD,-7744.0,EquityReturn,2697.5700934579213
MMM,2021-08-26,USD,-7744.0,TotalReturn,-8635.24804135992
MMM,2021-08-26,USD,-7744.0,FXReturn,-2176.4225094452991
MMM,2021-08-26,USD,-7744.0,EquityReturn,-6458.8255319148257
MMM,2021-08-27,USD,-7744.0,TotalReturn,6466.7166378899692
MMM,2021-08-27,USD,-7744.0,FXReturn,4693.7326643466049
MMM,2021-08-27,USD,-7744.0,EquityReturn,1772.983973543508
MMM,2021-08-30,USD,-7744.0,TotalReturn,-7136.1735047557031
MMM,2021-08-30,USD,-7744.0,FXReturn,217.17961097114278
MMM,2021-08-30,USD,-7744.0,EquityReturn,-7353.3531157268462
MMM,2021-08-31,USD,-7744.0,TotalReturn,10688.120195687794
MMM,2021-08-31,USD,-7744.0,FXReturn,1309.0061108230889
MMM,2021-08-31,USD,-7744.0,EquityReturn,9379.1140848647683
MMM,2021-09-01,USD,-7744.0,TotalReturn,11741.990729944115
MMM,2021-09-01,USD,-7744.0,FXReturn,3237.1330802015668
MMM,2021-09-01,USD,-7744.0,EquityReturn,8504.8576497424074
MMM,2021-09-02,USD,-7744.0,TotalReturn,-5620.24581334613
MMM,2021-09-02,USD,-7744.0,FXReturn,3837.1785949752407
MMM,2021-09-02,USD,-7744.0,EquityReturn,-9457.4244083213271
MMM,2021-09-03,USD,-7744.0,TotalReturn,4221.5357327767979
MMM,2021-09-03,USD,-7744.0,FXReturn,962.82507800483529
MMM,2021-09-03,USD,-7744.0,EquityReturn,3258.7106547719241
MMM,2021-09-07,USD,-7744.0,TotalReturn,53025.48984546178
MMM,2021-09-07,USD,-7744.0,FXReturn,-4601.5394644458811
MMM,2021-09-07,USD,-7744.0,EquityReturn,57627.029309907761
MMM,2021-09-08,USD,-7744.0,TotalReturn,-17814.9239821749
MMM,2021-09-08,USD,-7744.0,FXReturn,-2671.7427411695189
MMM,2021-09-08,USD,-7744.0,EquityReturn,-15143.1812410055
MMM,2021-09-09,USD,-7744.0,TotalReturn,15264.450871034798
MMM,2021-09-09,USD,-7744.0,FXReturn,1249.939243127978
MMM,2021-09-09,USD,-7744.0,EquityReturn,14014.511627906886
MMM,2021-09-10,USD,-7744.0,TotalReturn,6733.2900264170148
MMM,2021-09-10,USD,-7744.0,FXReturn,-1132.6317612924049
MMM,2021-09-10,USD,-7744.0,EquityReturn,7865.9217877094225
MMM,2021-09-13,USD,-7744.0,TotalReturn,-5074.3122738486709
MMM,2021-09-13,USD,-7744.0,FXReturn,-614.69167764302517
MMM,2021-09-13,USD,-7744.0,EquityReturn,-4459.62059620582
MMM,2021-09-14,USD,-7744.0,TotalReturn,17820.5113367858
MMM,2021-09-14,USD,-7744.0,FXReturn,-617.58390130929547
MMM,2021-09-14,USD,-7744.0,EquityReturn,18438.095238095255
MMM,2021-09-15,USD,-7744.0,TotalReturn,-10284.234338298658
MMM,2021-09-15,USD,-7744.0,FXReturn,1317.0183066442537
MMM,2021-09-15,USD,-7744.0,EquityReturn,-11601.252644942937
MMM,2021-09-16,USD,-7744.0,TotalReturn,4837.9280771234007
MMM,2021-09-16,USD,-7744.0,FXReturn,-5233.7482234546669
MMM,2021-09-16,USD,-7744.0,EquityReturn,10071.676300578043
MMM,2021-09-17,USD,-7744.0,TotalReturn,3727.9897805382079
MMM,2021-09-17,USD,-7744.0,FXReturn,-3999.4984923827542
MMM,2021-09-17,USD,-7744.0,EquityReturn,7727.4882729210258
MMM,2021-09-20,USD,-7744.0,TotalReturn,6340.5031982942928
MMM,2021-09-20,USD,-7744.0,FXReturn,-0.0
MMM,2021-09-20,USD,-7744.0,EquityReturn,6340.5031982942955
MMM,2021-09-21,USD,-7744.0,TotalReturn,13734.855440446732
MMM,2021-09-21,USD,-7744.0,FXReturn,-203.41974508605892
MMM,2021-09-21,USD,-7744.0,EquityReturn,13938.275185532804
MMM,2021-09-22,USD,-7744.0,TotalReturn,-13141.654053917107
MMM,2021-09-22,USD,-7744.0,FXReturn,-3731.6934172578212
MMM,2021-09-22,USD,-7744.0,EquityReturn,-9409.9606366593562
MMM,2021-09-23,USD,-7744.0,TotalReturn,-6074.1324367997531
MMM,2021-09-23,USD,-7744.0,FXReturn,5077.3331392056134
MMM,2021-09-23,USD,-7744.0,EquityReturn,-11151.465576005439
MMM,2021-09-24,USD,-7744.0,TotalReturn,989.70745508242362
MMM,2021-09-24,USD,-7744.0,FXReturn,-2249.6300897357996
MMM,2021-09-24,USD,-7744.0,EquityReturn,3239.3375448182264
MMM,2021-09-27,USD,-7744.0,TotalReturn,-7013.5728739799561
MMM,2021-09-27,USD,-7744.0,FXReturn,-2046.9233101009918
MMM,2021-09-27,USD,-7744.0,EquityReturn,-4966.649563878912
MMM,2021-09-28,USD,-7744.0,TotalReturn,10195.664307869722
MMM,2021-09-28,USD,-7744.0,FXReturn,-1339.7864240880283
MMM,2021-09-28,USD,-7744.0,EquityReturn,11535.450731957751
MMM,2021-09-29,USD,-7744.0,TotalReturn,-14396.674536133563
MMM,2021-09-29,USD,-7744.0,FXReturn,-8853.3196417824238
MMM,2021-09-29,USD,-7744.0,EquityReturn,-5543.3548943509077
MMM,2021-09-30,USD,-7744.0,TotalReturn,35049.623608042813
MMM,2021-09-30,USD,-7744.0,FXReturn,-1460.3841633069271
MMM,2021-09-30,USD,-7744.0,EquityReturn,36510.007771349679
MMM,2021-10-01,USD,-7744.0,TotalReturn,-7100.6888696021142
MMM,2021-10-01,USD,-7744.0,FXReturn,1315.2504093353307
MMM,2021-10-01,USD,-7744.0,EquityReturn,-8415.93927893751
MMM,2021-10-04,USD,-7744.0,TotalReturn,7006.6557189620926
MMM,2021-10-04,USD,-7744.0,FXReturn,2741.8248094016608
MMM,2021-10-04,USD,-7744.0,EquityReturn,4264.8309095603781
MMM,2021-10-05,USD,-7744.0,TotalReturn,-14816.9175837808
MMM,2021-10-05,USD,-7744.0,FXReturn,-2529.0941964059389
MMM,2021-10-05,USD,-7744.0,EquityReturn,-12287.823387374981
MMM,2021-10-06,USD,-7744.0,TotalReturn,-7596.510798354986
MMM,2021-10-06,USD,-7744.0,FXReturn,-4111.84482396925
MMM,2021-10-06,USD,-7744.0,EquityReturn,-3484.665974385669
MMM,2021-10-07,USD,-7744.0,TotalReturn,3401.8137763933082
MMM,2021-10-07,USD,-7744.0,FXReturn,-621.04336646380091
